item_id,paper,paper_item_no,source_true,cognitive_level,topic,adjusted_correct_probability,min_standardized_probability,max_standardized_probability,n_standardization_students,n_standardization_scenarios,standardized_block_positions,model_formula,adjustment_note
H016,P,16,Human,recall,Obstruction,0.4600234850396688,0.38385235110400334,0.555321893006659,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H017,P,17,Human,recall,Tumors,0.6598988467037193,0.5880498279327804,0.7410312120178479,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H018,P,18,Human,application,Tumors,0.6199193229704403,0.5451445996210077,0.7060958768452893,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H019,P,19,Human,application,Tumors,0.7198764117834368,0.6544611230386607,0.7915234496883878,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H020,P,20,Human,recall,Infection,0.6798901381088281,0.6099093706327653,0.7581121597842919,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H021,P,21,Human,application,Tumors,0.3001139450635819,0.23782014090131395,0.3847956748330402,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H022,P,22,Human,application,Other,0.7398716476420448,0.6771610487452984,0.8078626305824091,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H023,P,23,Human,application,Trauma,0.8198695662511405,0.7708808683860451,0.8708750159978953,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H024,P,24,Human,application,Stones,0.4999961355686823,0.42268103884439645,0.5947528610829061,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H025,P,25,Human,application,Andrology/Pelvic floor,0.5399689792398381,0.4624881233089907,0.6329970643295327,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H026,P,26,Human,analysis,Tumors,0.8598805217960368,0.8195508924499256,0.9010310566424157,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H027,P,27,Human,analysis,Andrology/Pelvic floor,0.460023485039669,0.38385235110400356,0.5553218930066594,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H028,P,28,Human,analysis,Tumors,0.4000626106725428,0.3273878479656943,0.49385095927891776,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H029,P,29,Human,analysis,Tumors,0.28012090891589425,0.22056138328050226,0.36193581688397797,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H030,P,30,Human,analysis,Tumors,0.2201326624663901,0.17004482080801897,0.29113382241141283,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H031,P,31,Human,analysis,Trauma,0.7198764117834426,0.6544611230386675,0.7915234496883927,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H032,P,32,Human,analysis,Infection,0.919914914685021,0.8949159137027094,0.944663435943905,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H033,P,33,Human,analysis,Tumors,0.8598805217960382,0.8195508924499274,0.901031056642417,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H034,P,34,Human,analysis,Tumors,0.42004999591125597,0.34597637113762963,0.514659026932285,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H035,P,35,Human,analysis,Stones,0.6598988467037198,0.5880498279327808,0.7410312120178483,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H036,P,36,Human,analysis,Infection,0.7598684526320888,0.7001489276001608,0.8239632364612873,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H037,P,37,Human,analysis,Infection,0.8398739354465948,0.7950614937563892,0.886062295685663,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H038,P,38,Human,analysis,Tumors,0.8598805217960357,0.8195508924499243,0.901031056642415,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H039,P,39,Human,analysis,Tumors,0.8798894577786673,0.84435344513262,0.915785059045761,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H040,P,40,Human,comprehension,Tuberculosis,0.6199193229704372,0.5451445996210044,0.7060958768452865,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H041,P,41,Human,comprehension,Tuberculosis,0.6998826175994288,0.6320451938277561,0.7749414164956578,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H042,P,42,Human,comprehension,Tuberculosis,0.739871647642044,0.6771610487452976,0.8078626305824086,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H043,P,43,Human,analysis,Tumors,0.5999308383712413,0.5240915771857024,0.6882320504244158,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H044,P,44,Human,analysis,Obstruction,0.10010167791022921,0.07444585333842081,0.13884758853597315,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H045,P,45,Human,analysis,Tumors,0.12011291541615561,0.08989260148396751,0.16527093300720322,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H046,P,46,Human,analysis,Tumors,0.14012151159540578,0.1055306592463335,0.19126626933396867,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H047,P,47,Human,analysis,Stones,0.48000985035427557,0.4031460208718973,0.5751884957207828,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H048,P,48,Human,analysis,Infection,0.6798901381088274,0.6099093706327642,0.7581121597842911,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H049,P,49,Human,analysis,Trauma,0.30011394506358186,0.23782014090131387,0.3847956748330402,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H050,P,50,Human,analysis,Infection,0.08008763477018353,0.059188041365000985,0.11198757028846099,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M001,M,1,MAS,recall,Infection,0.6200807669102838,0.5453157130682755,0.7062390693188908,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M002,M,2,MAS,recall,Tumors,0.9400681687465731,0.9208617703317129,0.9588905843480711,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M003,M,3,MAS,application,Tumors,0.8801104299254906,0.8446291043148709,0.9159468023489387,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M004,M,4,MAS,application,Trauma,0.5800570341640284,0.503418006348823,0.6702018542627297,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M005,M,5,MAS,application,Tumors,0.9600485052412848,0.9469128960589431,0.9727930521031212,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M006,M,6,MAS,recall,Tumors,0.5600442645976816,0.4828571543940076,0.6517697929711727,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M007,M,7,MAS,recall,Trauma,0.9200849544527414,0.8951334505874394,0.9447843433886629,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M008,M,8,MAS,application,Tumors,0.8401259956368397,0.7953681196791458,0.88625224683968,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M009,M,9,MAS,application,Andrology/Pelvic floor,0.5200175546376092,0.44249558182883447,0.6140541323917234,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M010,M,10,MAS,application,Other,0.3999373120116321,0.3272720454193653,0.4937194963862243,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M011,M,11,MAS,application,Infection,0.3799252906085275,0.30889193571090706,0.4725579065871674,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M012,M,12,MAS,application,Other,0.5600442645976833,0.4828571543940093,0.6517697929711741,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M013,M,13,MAS,application,Tumors,0.5400310622558263,0.462550722826314,0.6330555615084862,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M014,M,14,MAS,application,Trauma,0.41994993965623967,0.3458827412300866,0.5145556623910235,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M015,M,15,MAS,application,Tumors,0.6400914767611573,0.5666590511983174,0.7238537773518469,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M016,M,16,MAS,application,Obstruction,0.9400681687465738,0.9208617703317139,0.9588905843480715,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M017,M,17,MAS,recall,Stones,0.9600485052412848,0.9469128960589431,0.9727930521031212,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M018,M,18,MAS,application,Stones,0.45997648309174394,0.38380726029808554,0.5552748122170145,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M019,M,19,MAS,application,Tumors,0.92008495445274,0.8951334505874377,0.9447843433886621,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M020,M,20,MAS,application,Infection,0.9000989970103871,0.8697238928015292,0.9304709116977642,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M021,M,21,MAS,application,Tuberculosis,0.6801099512715922,0.6101512477031731,0.758298559800641,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M022,M,22,MAS,application,Tumors,0.9200849544527402,0.8951334505874382,0.9447843433886622,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M023,M,23,MAS,recall,Tumors,0.4399630406339453,0.364726855139976,0.535072206256465,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M024,M,24,MAS,recall,Andrology/Pelvic floor,0.5200175546376098,0.44249558182883497,0.6140541323917239,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M025,M,25,MAS,application,Tumors,0.47999013613599806,0.4031268714723712,0.5751690494156566,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M026,M,26,MAS,analysis,Obstruction,0.43996304063394204,0.36472685513997305,0.5350722062564619,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M027,M,27,MAS,analysis,Obstruction,0.7201236561936056,0.6547400794110297,0.791726967813359,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M028,M,28,MAS,analysis,Obstruction,0.5600442645976826,0.4828571543940088,0.6517697929711737,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M029,M,29,MAS,analysis,Tumors,0.25987349396316484,0.20330006118746435,0.33841417969049925,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M030,M,30,MAS,analysis,Tumors,0.25987349396316745,0.2033000611874666,0.3384141796905023,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M031,M,31,MAS,analysis,Tumors,0.7601315783763322,0.7004533356485007,0.8241735142230953,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M032,M,32,MAS,analysis,Stones,0.820130390483992,0.7711941923564231,0.8710744660161129,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M033,M,33,MAS,analysis,Stones,0.7401284036010876,0.6774543878768577,0.8080708711343969,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M034,M,34,MAS,analysis,Stones,0.8601193856440651,0.8198451435447036,0.9012084574990893,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M035,M,35,MAS,analysis,Tumors,0.3799252906085252,0.30889193571090523,0.4725579065871653,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M036,M,36,MAS,analysis,Tumors,0.7401284036010866,0.6774543878768571,0.8080708711343964,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M037,M,37,MAS,analysis,Tumors,0.7801330531181935,0.7237405161187437,0.8400389965176196,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
