source,item_seq,family,dimension,score
Human,5,ULM,Goal alignment,5.0
Human,5,ULM,Guess resistance,4.333333333333333
Human,5,ULM,Plausibility,2.6666666666666665
Human,5,ULM,Reasoning,1.3333333333333333
Human,5,ULM,Solvability,5.0
Human,6,QGval,Answer consistency,4.333333333333333
Human,6,QGval,Answerability,4.666666666666667
Human,6,QGval,Clarity,4.333333333333333
Human,6,QGval,Conciseness,5.0
Human,6,QGval,Consistency,4.666666666666667
Human,6,QGval,Fluency,5.0
Human,6,QGval,Relevance,4.666666666666667
Human,6,ULM,Absoluteness,5.0
Human,6,ULM,Completeness,5.0
Human,6,ULM,Comprehensiveness,1.3333333333333333
Human,6,ULM,Correctness,5.0
Human,6,ULM,Exclusiveness,4.333333333333333
Human,6,ULM,Explanation score,3.0
Human,6,ULM,Explicitness,3.0
Human,6,ULM,Fairness,3.0
Human,6,ULM,Feedback,2.3333333333333335
Human,6,ULM,Fluency,5.0
Human,6,ULM,Focus,4.0
Human,6,ULM,Goal alignment,5.0
Human,6,ULM,Guess resistance,4.0
Human,6,ULM,Plausibility,2.0
Human,6,ULM,Reasoning,1.3333333333333333
Human,6,ULM,Solvability,5.0
Human,7,QGval,Answer consistency,5.0
Human,7,QGval,Answerability,5.0
Human,7,QGval,Clarity,5.0
Human,7,QGval,Conciseness,5.0
Human,7,QGval,Consistency,5.0
Human,7,QGval,Fluency,5.0
Human,7,QGval,Relevance,4.666666666666667
Human,7,ULM,Absoluteness,5.0
Human,7,ULM,Completeness,5.0
Human,7,ULM,Comprehensiveness,1.6666666666666667
Human,7,ULM,Correctness,5.0
Human,7,ULM,Exclusiveness,5.0
Human,7,ULM,Explanation score,3.6666666666666665
Human,7,ULM,Explicitness,3.3333333333333335
Human,7,ULM,Fairness,3.0
Human,7,ULM,Feedback,3.3333333333333335
Human,7,ULM,Fluency,5.0
Human,7,ULM,Focus,4.0
Human,7,ULM,Goal alignment,5.0
Human,7,ULM,Guess resistance,3.6666666666666665
Human,7,ULM,Plausibility,2.6666666666666665
Human,7,ULM,Reasoning,1.3333333333333333
Human,7,ULM,Solvability,5.0
Human,8,QGval,Answer consistency,4.666666666666667
Human,8,QGval,Answerability,4.333333333333333
Human,8,QGval,Clarity,3.3333333333333335
Human,8,QGval,Conciseness,4.0
Human,8,QGval,Consistency,4.0
Human,8,QGval,Fluency,4.0
Human,8,QGval,Relevance,4.333333333333333
Human,8,ULM,Absoluteness,4.666666666666667
Human,8,ULM,Completeness,4.333333333333333
Human,8,ULM,Comprehensiveness,4.0
Human,8,ULM,Correctness,4.0
Human,8,ULM,Exclusiveness,3.6666666666666665
Human,8,ULM,Explanation score,3.6666666666666665
Human,8,ULM,Explicitness,3.3333333333333335
Human,8,ULM,Fairness,3.0
Human,8,ULM,Feedback,4.0
Human,8,ULM,Fluency,4.0
Human,8,ULM,Focus,4.0
Human,8,ULM,Goal alignment,4.333333333333333
Human,8,ULM,Guess resistance,3.3333333333333335
Human,8,ULM,Plausibility,4.333333333333333
Human,8,ULM,Reasoning,3.3333333333333335
Human,8,ULM,Solvability,4.333333333333333
Human,9,QGval,Answer consistency,5.0
Human,9,QGval,Answerability,5.0
Human,9,QGval,Clarity,5.0
Human,9,QGval,Conciseness,5.0
Human,9,QGval,Consistency,4.666666666666667
Human,9,QGval,Fluency,5.0
Human,9,QGval,Relevance,5.0
Human,9,ULM,Absoluteness,5.0
Human,9,ULM,Completeness,5.0
Human,9,ULM,Comprehensiveness,2.0
Human,9,ULM,Correctness,5.0
Human,9,ULM,Exclusiveness,5.0
Human,9,ULM,Explanation score,3.6666666666666665
Human,9,ULM,Explicitness,3.6666666666666665
Human,9,ULM,Fairness,3.0
Human,9,ULM,Feedback,3.3333333333333335
Human,9,ULM,Fluency,5.0
Human,9,ULM,Focus,4.333333333333333
Human,9,ULM,Goal alignment,5.0
Human,9,ULM,Guess resistance,4.333333333333333
Human,9,ULM,Plausibility,3.3333333333333335
Human,9,ULM,Reasoning,1.3333333333333333
Human,9,ULM,Solvability,5.0
Human,10,QGval,Answer consistency,5.0
Human,10,QGval,Answerability,5.0
Human,10,QGval,Clarity,5.0
Human,10,QGval,Conciseness,5.0
Human,10,QGval,Consistency,5.0
Human,10,QGval,Fluency,5.0
Human,10,QGval,Relevance,5.0
Human,10,ULM,Absoluteness,5.0
Human,10,ULM,Completeness,5.0
Human,10,ULM,Comprehensiveness,2.3333333333333335
Human,10,ULM,Correctness,5.0
Human,10,ULM,Exclusiveness,5.0
Human,10,ULM,Explanation score,3.6666666666666665
Human,10,ULM,Explicitness,3.3333333333333335
Human,10,ULM,Fairness,3.0
Human,10,ULM,Feedback,3.3333333333333335
Human,10,ULM,Fluency,5.0
Human,10,ULM,Focus,4.333333333333333
Human,10,ULM,Goal alignment,5.0
Human,10,ULM,Guess resistance,4.0
Human,10,ULM,Plausibility,3.3333333333333335
Human,10,ULM,Reasoning,1.6666666666666667
Human,10,ULM,Solvability,5.0
Human,11,QGval,Answer consistency,5.0
Human,11,QGval,Answerability,5.0
Human,11,QGval,Clarity,5.0
Human,11,QGval,Conciseness,5.0
Human,11,QGval,Consistency,5.0
Human,11,QGval,Fluency,5.0
Human,11,QGval,Relevance,5.0
Human,11,ULM,Absoluteness,5.0
Human,11,ULM,Completeness,5.0
Human,11,ULM,Comprehensiveness,2.3333333333333335
Human,11,ULM,Correctness,5.0
Human,11,ULM,Exclusiveness,5.0
Human,11,ULM,Explanation score,3.6666666666666665
Human,11,ULM,Explicitness,3.3333333333333335
Human,11,ULM,Fairness,3.0
Human,11,ULM,Feedback,3.3333333333333335
Human,11,ULM,Fluency,5.0
Human,11,ULM,Focus,4.333333333333333
Human,11,ULM,Goal alignment,5.0
Human,11,ULM,Guess resistance,4.0
Human,11,ULM,Plausibility,3.0
Human,11,ULM,Reasoning,2.0
Human,11,ULM,Solvability,5.0
Human,12,QGval,Answer consistency,5.0
Human,12,QGval,Answerability,4.666666666666667
Human,12,QGval,Clarity,4.666666666666667
Human,12,QGval,Conciseness,5.0
Human,12,QGval,Consistency,4.666666666666667
Human,12,QGval,Fluency,5.0
Human,12,QGval,Relevance,5.0
Human,12,ULM,Absoluteness,5.0
Human,12,ULM,Completeness,5.0
Human,12,ULM,Comprehensiveness,1.6666666666666667
Human,12,ULM,Correctness,5.0
Human,12,ULM,Exclusiveness,4.666666666666667
Human,12,ULM,Explanation score,3.6666666666666665
Human,12,ULM,Explicitness,3.3333333333333335
Human,12,ULM,Fairness,3.0
Human,12,ULM,Feedback,3.3333333333333335
Human,12,ULM,Fluency,5.0
Human,12,ULM,Focus,4.333333333333333
Human,12,ULM,Goal alignment,5.0
Human,12,ULM,Guess resistance,4.333333333333333
Human,12,ULM,Plausibility,3.3333333333333335
Human,12,ULM,Reasoning,2.0
Human,12,ULM,Solvability,5.0
Human,13,QGval,Answer consistency,4.333333333333333
Human,13,QGval,Answerability,5.0
Human,13,QGval,Clarity,5.0
Human,13,QGval,Conciseness,4.333333333333333
Human,13,QGval,Consistency,5.0
Human,13,QGval,Fluency,4.333333333333333
Human,13,QGval,Relevance,5.0
Human,13,ULM,Absoluteness,5.0
Human,13,ULM,Completeness,5.0
Human,13,ULM,Comprehensiveness,1.6666666666666667
Human,13,ULM,Correctness,5.0
Human,13,ULM,Exclusiveness,5.0
Human,13,ULM,Explanation score,4.333333333333333
Human,13,ULM,Explicitness,3.3333333333333335
Human,13,ULM,Fairness,3.0
Human,13,ULM,Feedback,4.0
Human,13,ULM,Fluency,5.0
Human,13,ULM,Focus,4.333333333333333
Human,13,ULM,Goal alignment,4.333333333333333
Human,13,ULM,Guess resistance,4.333333333333333
Human,13,ULM,Plausibility,3.3333333333333335
Human,13,ULM,Reasoning,2.0
Human,13,ULM,Solvability,5.0
Human,14,QGval,Answer consistency,5.0
Human,14,QGval,Answerability,5.0
Human,14,QGval,Clarity,5.0
Human,14,QGval,Conciseness,5.0
Human,14,QGval,Consistency,5.0
Human,14,QGval,Fluency,5.0
Human,14,QGval,Relevance,5.0
Human,14,ULM,Absoluteness,5.0
Human,14,ULM,Completeness,5.0
Human,14,ULM,Comprehensiveness,2.0
Human,14,ULM,Correctness,5.0
Human,14,ULM,Exclusiveness,5.0
Human,14,ULM,Explanation score,3.6666666666666665
Human,14,ULM,Explicitness,3.3333333333333335
Human,14,ULM,Fairness,3.0
Human,14,ULM,Feedback,3.3333333333333335
Human,14,ULM,Fluency,5.0
Human,14,ULM,Focus,4.333333333333333
Human,14,ULM,Goal alignment,5.0
Human,14,ULM,Guess resistance,4.333333333333333
Human,14,ULM,Plausibility,3.3333333333333335
Human,14,ULM,Reasoning,2.0
Human,14,ULM,Solvability,5.0
Human,15,QGval,Answer consistency,5.0
Human,15,QGval,Answerability,5.0
Human,15,QGval,Clarity,5.0
Human,15,QGval,Conciseness,5.0
Human,15,QGval,Consistency,5.0
Human,15,QGval,Fluency,5.0
Human,15,QGval,Relevance,5.0
Human,15,ULM,Absoluteness,5.0
Human,15,ULM,Completeness,5.0
Human,15,ULM,Comprehensiveness,3.0
Human,15,ULM,Correctness,5.0
Human,15,ULM,Exclusiveness,5.0
Human,15,ULM,Explanation score,4.333333333333333
Human,15,ULM,Explicitness,3.3333333333333335
Human,15,ULM,Fairness,3.0
Human,15,ULM,Feedback,4.0
Human,15,ULM,Fluency,5.0
Human,15,ULM,Focus,4.333333333333333
Human,15,ULM,Goal alignment,5.0
Human,15,ULM,Guess resistance,4.333333333333333
Human,15,ULM,Plausibility,4.0
Human,15,ULM,Reasoning,3.0
Human,15,ULM,Solvability,5.0
Human,16,QGval,Answer consistency,5.0
Human,16,QGval,Answerability,5.0
Human,16,QGval,Clarity,5.0
Human,16,QGval,Conciseness,5.0
Human,16,QGval,Consistency,5.0
Human,16,QGval,Fluency,5.0
Human,16,QGval,Relevance,5.0
Human,16,ULM,Absoluteness,5.0
Human,16,ULM,Completeness,5.0
Human,16,ULM,Comprehensiveness,2.3333333333333335
Human,16,ULM,Correctness,5.0
Human,16,ULM,Exclusiveness,5.0
Human,16,ULM,Explanation score,3.6666666666666665
Human,16,ULM,Explicitness,3.3333333333333335
Human,16,ULM,Fairness,3.0
Human,16,ULM,Feedback,3.3333333333333335
Human,16,ULM,Fluency,5.0
Human,16,ULM,Focus,4.333333333333333
Human,16,ULM,Goal alignment,5.0
Human,16,ULM,Guess resistance,4.333333333333333
Human,16,ULM,Plausibility,3.3333333333333335
Human,16,ULM,Reasoning,2.0
Human,16,ULM,Solvability,5.0
Human,17,QGval,Answer consistency,5.0
Human,17,QGval,Answerability,5.0
Human,17,QGval,Clarity,5.0
Human,17,QGval,Conciseness,5.0
Human,17,QGval,Consistency,5.0
Human,17,QGval,Fluency,4.666666666666667
Human,17,QGval,Relevance,5.0
Human,17,ULM,Absoluteness,5.0
Human,17,ULM,Completeness,5.0
Human,17,ULM,Comprehensiveness,3.6666666666666665
Human,17,ULM,Correctness,5.0
Human,17,ULM,Exclusiveness,5.0
Human,17,ULM,Explanation score,4.333333333333333
Human,17,ULM,Explicitness,3.3333333333333335
Human,17,ULM,Fairness,3.0
Human,17,ULM,Feedback,4.333333333333333
Human,17,ULM,Fluency,4.666666666666667
Human,17,ULM,Focus,4.333333333333333
Human,17,ULM,Goal alignment,5.0
Human,17,ULM,Guess resistance,4.333333333333333
Human,17,ULM,Plausibility,4.333333333333333
Human,17,ULM,Reasoning,3.3333333333333335
Human,17,ULM,Solvability,5.0
Human,18,QGval,Answer consistency,5.0
Human,18,QGval,Answerability,5.0
Human,18,QGval,Clarity,5.0
Human,18,QGval,Conciseness,5.0
Human,18,QGval,Consistency,5.0
Human,18,QGval,Fluency,5.0
Human,18,QGval,Relevance,5.0
Human,18,ULM,Absoluteness,5.0
Human,18,ULM,Completeness,5.0
Human,18,ULM,Comprehensiveness,2.0
Human,18,ULM,Correctness,5.0
Human,18,ULM,Exclusiveness,5.0
Human,18,ULM,Explanation score,3.6666666666666665
Human,18,ULM,Explicitness,3.3333333333333335
Human,18,ULM,Fairness,3.0
Human,18,ULM,Feedback,3.3333333333333335
Human,18,ULM,Fluency,5.0
Human,18,ULM,Focus,4.333333333333333
Human,18,ULM,Goal alignment,5.0
Human,18,ULM,Guess resistance,4.333333333333333
Human,18,ULM,Plausibility,3.3333333333333335
Human,18,ULM,Reasoning,2.3333333333333335
Human,18,ULM,Solvability,5.0
Human,19,QGval,Answer consistency,5.0
Human,19,QGval,Answerability,5.0
Human,19,QGval,Clarity,5.0
Human,19,QGval,Conciseness,5.0
Human,19,QGval,Consistency,5.0
Human,19,QGval,Fluency,4.666666666666667
Human,19,QGval,Relevance,5.0
Human,19,ULM,Absoluteness,5.0
Human,19,ULM,Completeness,5.0
Human,19,ULM,Comprehensiveness,3.3333333333333335
Human,19,ULM,Correctness,5.0
Human,19,ULM,Exclusiveness,5.0
Human,19,ULM,Explanation score,4.333333333333333
Human,19,ULM,Explicitness,3.3333333333333335
Human,19,ULM,Fairness,3.0
Human,19,ULM,Feedback,4.0
Human,19,ULM,Fluency,5.0
Human,19,ULM,Focus,4.333333333333333
Human,19,ULM,Goal alignment,5.0
Human,19,ULM,Guess resistance,4.333333333333333
Human,19,ULM,Plausibility,4.0
Human,19,ULM,Reasoning,3.0
Human,19,ULM,Solvability,5.0
Human,20,QGval,Answer consistency,5.0
Human,20,QGval,Answerability,5.0
Human,20,QGval,Clarity,5.0
Human,20,QGval,Conciseness,5.0
Human,20,QGval,Consistency,5.0
Human,20,QGval,Fluency,5.0
Human,20,QGval,Relevance,5.0
Human,20,ULM,Absoluteness,5.0
Human,20,ULM,Completeness,5.0
Human,20,ULM,Comprehensiveness,1.6666666666666667
Human,20,ULM,Correctness,5.0
Human,20,ULM,Exclusiveness,5.0
Human,20,ULM,Explanation score,3.6666666666666665
Human,20,ULM,Explicitness,3.3333333333333335
Human,20,ULM,Fairness,3.0
Human,20,ULM,Feedback,3.3333333333333335
Human,20,ULM,Fluency,5.0
Human,20,ULM,Focus,4.333333333333333
Human,20,ULM,Goal alignment,5.0
Human,20,ULM,Guess resistance,4.333333333333333
Human,20,ULM,Plausibility,3.0
Human,20,ULM,Reasoning,2.0
Human,20,ULM,Solvability,5.0
Human,21,QGval,Answer consistency,4.333333333333333
Human,21,QGval,Answerability,5.0
Human,21,QGval,Clarity,5.0
Human,21,QGval,Conciseness,5.0
Human,21,QGval,Consistency,5.0
Human,21,QGval,Fluency,5.0
Human,21,QGval,Relevance,5.0
Human,21,ULM,Absoluteness,5.0
Human,21,ULM,Completeness,5.0
Human,21,ULM,Comprehensiveness,1.6666666666666667
Human,21,ULM,Correctness,5.0
Human,21,ULM,Exclusiveness,5.0
Human,21,ULM,Explanation score,3.6666666666666665
Human,21,ULM,Explicitness,3.3333333333333335
Human,21,ULM,Fairness,3.0
Human,21,ULM,Feedback,3.3333333333333335
Human,21,ULM,Fluency,5.0
Human,21,ULM,Focus,4.333333333333333
Human,21,ULM,Goal alignment,5.0
Human,21,ULM,Guess resistance,4.333333333333333
Human,21,ULM,Plausibility,3.0
Human,21,ULM,Reasoning,2.0
Human,21,ULM,Solvability,5.0
Human,22,QGval,Answer consistency,5.0
Human,22,QGval,Answerability,5.0
Human,22,QGval,Clarity,5.0
Human,22,QGval,Conciseness,5.0
Human,22,QGval,Consistency,5.0
Human,22,QGval,Fluency,5.0
Human,22,QGval,Relevance,5.0
Human,22,ULM,Absoluteness,5.0
Human,22,ULM,Completeness,5.0
Human,22,ULM,Comprehensiveness,3.0
Human,22,ULM,Correctness,5.0
Human,22,ULM,Exclusiveness,5.0
Human,22,ULM,Explanation score,4.333333333333333
Human,22,ULM,Explicitness,3.3333333333333335
Human,22,ULM,Fairness,3.0
Human,22,ULM,Feedback,4.0
Human,22,ULM,Fluency,5.0
Human,22,ULM,Focus,5.0
Human,22,ULM,Goal alignment,5.0
Human,22,ULM,Guess resistance,4.333333333333333
Human,22,ULM,Plausibility,3.3333333333333335
Human,22,ULM,Reasoning,2.0
Human,22,ULM,Solvability,5.0
Human,23,QGval,Answer consistency,4.333333333333333
Human,23,QGval,Answerability,5.0
Human,23,QGval,Clarity,5.0
Human,23,QGval,Conciseness,5.0
Human,23,QGval,Consistency,5.0
Human,23,QGval,Fluency,5.0
Human,23,QGval,Relevance,5.0
Human,23,ULM,Absoluteness,5.0
Human,23,ULM,Completeness,5.0
Human,23,ULM,Comprehensiveness,2.3333333333333335
Human,23,ULM,Correctness,5.0
Human,23,ULM,Exclusiveness,5.0
Human,23,ULM,Explanation score,3.6666666666666665
Human,23,ULM,Explicitness,3.3333333333333335
Human,23,ULM,Fairness,3.0
Human,23,ULM,Feedback,3.3333333333333335
Human,23,ULM,Fluency,5.0
Human,23,ULM,Focus,5.0
Human,23,ULM,Goal alignment,5.0
Human,23,ULM,Guess resistance,4.333333333333333
Human,23,ULM,Plausibility,3.6666666666666665
Human,23,ULM,Reasoning,2.0
Human,23,ULM,Solvability,5.0
Human,24,QGval,Answer consistency,4.333333333333333
Human,24,QGval,Answerability,5.0
Human,24,QGval,Clarity,5.0
Human,24,QGval,Conciseness,5.0
Human,24,QGval,Consistency,5.0
Human,24,QGval,Fluency,5.0
Human,24,QGval,Relevance,5.0
Human,24,ULM,Absoluteness,5.0
Human,24,ULM,Completeness,5.0
Human,24,ULM,Comprehensiveness,3.3333333333333335
Human,24,ULM,Correctness,5.0
Human,24,ULM,Exclusiveness,5.0
Human,24,ULM,Explanation score,4.333333333333333
Human,24,ULM,Explicitness,3.3333333333333335
Human,24,ULM,Fairness,3.0
Human,24,ULM,Feedback,4.0
Human,24,ULM,Fluency,5.0
Human,24,ULM,Focus,5.0
Human,24,ULM,Goal alignment,5.0
Human,24,ULM,Guess resistance,4.333333333333333
Human,24,ULM,Plausibility,3.6666666666666665
Human,24,ULM,Reasoning,3.0
Human,24,ULM,Solvability,5.0
Human,25,QGval,Answer consistency,5.0
Human,25,QGval,Answerability,5.0
Human,25,QGval,Clarity,5.0
Human,25,QGval,Conciseness,5.0
Human,25,QGval,Consistency,5.0
Human,25,QGval,Fluency,5.0
Human,25,QGval,Relevance,5.0
Human,25,ULM,Absoluteness,5.0
Human,25,ULM,Completeness,5.0
Human,25,ULM,Comprehensiveness,2.0
Human,25,ULM,Correctness,5.0
Human,25,ULM,Exclusiveness,5.0
Human,25,ULM,Explanation score,3.6666666666666665
Human,25,ULM,Explicitness,3.0
Human,25,ULM,Fairness,3.0
Human,25,ULM,Feedback,3.3333333333333335
Human,25,ULM,Fluency,5.0
Human,25,ULM,Focus,5.0
Human,25,ULM,Goal alignment,5.0
Human,25,ULM,Guess resistance,4.333333333333333
Human,25,ULM,Plausibility,4.0
Human,25,ULM,Reasoning,2.0
Human,25,ULM,Solvability,5.0
Human,26,QGval,Answer consistency,5.0
Human,26,QGval,Answerability,5.0
Human,26,QGval,Clarity,5.0
Human,26,QGval,Conciseness,5.0
Human,26,QGval,Consistency,5.0
Human,26,QGval,Fluency,5.0
Human,26,QGval,Relevance,5.0
Human,26,ULM,Absoluteness,5.0
Human,26,ULM,Completeness,5.0
Human,26,ULM,Comprehensiveness,2.6666666666666665
Human,26,ULM,Correctness,5.0
Human,26,ULM,Exclusiveness,5.0
Human,26,ULM,Explanation score,4.333333333333333
Human,26,ULM,Explicitness,3.0
Human,26,ULM,Fairness,3.0
Human,26,ULM,Feedback,4.0
Human,26,ULM,Fluency,5.0
Human,26,ULM,Focus,5.0
Human,26,ULM,Goal alignment,5.0
Human,26,ULM,Guess resistance,4.333333333333333
Human,26,ULM,Plausibility,4.0
Human,26,ULM,Reasoning,2.6666666666666665
Human,26,ULM,Solvability,5.0
Human,27,QGval,Answer consistency,4.333333333333333
Human,27,QGval,Answerability,5.0
Human,27,QGval,Clarity,5.0
Human,27,QGval,Conciseness,5.0
Human,27,QGval,Consistency,5.0
Human,27,QGval,Fluency,5.0
Human,27,QGval,Relevance,5.0
Human,27,ULM,Absoluteness,5.0
Human,27,ULM,Completeness,5.0
Human,27,ULM,Comprehensiveness,3.0
Human,27,ULM,Correctness,5.0
Human,27,ULM,Exclusiveness,5.0
Human,27,ULM,Explanation score,4.333333333333333
Human,27,ULM,Explicitness,3.3333333333333335
Human,27,ULM,Fairness,3.0
Human,27,ULM,Feedback,4.0
Human,27,ULM,Fluency,5.0
Human,27,ULM,Focus,5.0
Human,27,ULM,Goal alignment,5.0
Human,27,ULM,Guess resistance,4.333333333333333
Human,27,ULM,Plausibility,4.0
Human,27,ULM,Reasoning,2.6666666666666665
Human,27,ULM,Solvability,5.0
Human,28,QGval,Answer consistency,5.0
Human,28,QGval,Answerability,5.0
Human,28,QGval,Clarity,4.666666666666667
Human,28,QGval,Conciseness,5.0
Human,28,QGval,Consistency,5.0
Human,28,QGval,Fluency,5.0
Human,28,QGval,Relevance,5.0
Human,28,ULM,Absoluteness,5.0
Human,28,ULM,Completeness,5.0
Human,28,ULM,Comprehensiveness,3.3333333333333335
Human,28,ULM,Correctness,5.0
Human,28,ULM,Exclusiveness,5.0
Human,28,ULM,Explanation score,4.333333333333333
Human,28,ULM,Explicitness,3.3333333333333335
Human,28,ULM,Fairness,3.0
Human,28,ULM,Feedback,4.0
Human,28,ULM,Fluency,5.0
Human,28,ULM,Focus,5.0
Human,28,ULM,Goal alignment,5.0
Human,28,ULM,Guess resistance,4.333333333333333
Human,28,ULM,Plausibility,4.0
Human,28,ULM,Reasoning,3.0
Human,28,ULM,Solvability,5.0
Human,29,QGval,Answer consistency,4.333333333333333
Human,29,QGval,Answerability,5.0
Human,29,QGval,Clarity,4.0
Human,29,QGval,Conciseness,4.333333333333333
Human,29,QGval,Consistency,5.0
Human,29,QGval,Fluency,4.666666666666667
Human,29,QGval,Relevance,5.0
Human,29,ULM,Absoluteness,4.666666666666667
Human,29,ULM,Completeness,5.0
Human,29,ULM,Comprehensiveness,3.3333333333333335
Human,29,ULM,Correctness,5.0
Human,29,ULM,Exclusiveness,4.333333333333333
Human,29,ULM,Explanation score,4.0
Human,29,ULM,Explicitness,3.0
Human,29,ULM,Fairness,3.0
Human,29,ULM,Feedback,3.6666666666666665
Human,29,ULM,Fluency,4.666666666666667
Human,29,ULM,Focus,4.666666666666667
Human,29,ULM,Goal alignment,5.0
Human,29,ULM,Guess resistance,4.0
Human,29,ULM,Plausibility,3.3333333333333335
Human,29,ULM,Reasoning,3.0
Human,29,ULM,Solvability,5.0
Human,30,QGval,Answer consistency,5.0
Human,30,QGval,Answerability,5.0
Human,30,QGval,Clarity,5.0
Human,30,QGval,Conciseness,5.0
Human,30,QGval,Consistency,5.0
Human,30,QGval,Fluency,5.0
Human,30,QGval,Relevance,5.0
Human,30,ULM,Absoluteness,5.0
Human,30,ULM,Completeness,5.0
Human,30,ULM,Comprehensiveness,3.0
Human,30,ULM,Correctness,5.0
Human,30,ULM,Exclusiveness,5.0
Human,30,ULM,Explanation score,4.333333333333333
Human,30,ULM,Explicitness,3.0
Human,30,ULM,Fairness,3.0
Human,30,ULM,Feedback,4.0
Human,30,ULM,Fluency,5.0
Human,30,ULM,Focus,5.0
Human,30,ULM,Goal alignment,5.0
Human,30,ULM,Guess resistance,4.333333333333333
Human,30,ULM,Plausibility,3.6666666666666665
Human,30,ULM,Reasoning,3.0
