rater_id,source_file,sheet,excel_row,item_id,paper_item_no,match_score,question_text_from_sheet
expert3_ai_expert_ratings_clea,expert3_ai_expert_ratings_cleaned.xlsx,P,28,H026,26,0.5444444444444444,"65岁男性，既往体健，主诉进行性右侧睾丸肿大3年，无疼痛，无行走不便。查体：睾丸6cm×5cm×4cm，无压痛，右侧睾丸及附睾未触及，透光试验阳性，平卧后不变。
1（2分）该患者最可能的诊断为（A）【单选题】
A.睾丸鞘膜积液
B.精索鞘膜积液
C.睾丸肿瘤
D.腹股沟斜疝
E.交通性鞘膜积液"
expert3_ai_expert_ratings_clea,expert3_ai_expert_ratings_cleaned.xlsx,P,30,H028,28,0.42162162162162165,"女，49岁。今早小便后用纸擦拭后见大量血。自诉就诊前一天去附近养生院按摩，按摩师在给腰部按摩时用力较大，按摩后即感觉腰部疼痛。检查：血常规无殊，尿RBC+++/HPF。B超提示：肾增大，肾破裂，CT诊断一致
3（2分）考虑患者出血的原因最可能的是（E）【单选题】
A.肾囊肿
B.多囊肾
C.肾癌
D.肾积水
E.肾错构瘤"
expert3_ai_expert_ratings_clea,expert3_ai_expert_ratings_cleaned.xlsx,P,31,H029,29,0.45685279187817257,"女，49岁。今早小便后用纸擦拭后见大量血。自诉就诊前一天去附近养生院按摩，按摩师在给腰部按摩时用力较大，按摩后即感觉腰部疼痛。检查：血常规无殊，尿RBC+++/HPF。B超提示：肾增大，肾破裂，CT诊断一致
4（2分）为求明确诊断，进一步应行哪项检查（C）【单选题】
A.尿路造影
B.穿刺活检
C.MRI
D.肾动脉造影
E.KUB"
expert3_ai_expert_ratings_clea,expert3_ai_expert_ratings_cleaned.xlsx,P,32,H030,30,0.4397905759162304,"女，49岁。今早小便后用纸擦拭后见大量血。自诉就诊前一天去附近养生院按摩，按摩师在给腰部按摩时用力较大，按摩后即感觉腰部疼痛。检查：血常规无殊，尿RBC+++/HPF。B超提示：肾增大，肾破裂，CT诊断一致
5（2分）对该患者首选的治疗措施是（D）【单选题】
A.血肿去除手术
B.肾部分切除
C.肾切除
D.介入治疗
E.观察"
expert3_ai_expert_ratings_clea,expert3_ai_expert_ratings_cleaned.xlsx,P,33,H031,31,0.5024630541871922,"患者女性，33岁。1小时前从2楼坠落，右腰部受伤，局部疼痛，可见肉眼血尿。查体：生命体征平稳。住院5日后自行下床活动，右腰部疼痛加剧并出现腰部包块。查生命体征P125次/分，P78/42mmHg。
6.（2分）为了解患者新出现的右腰部包块来源，应首选的检查是（B）【单选题】
A.同位素肾图
B.B超
C.KUB
D.血常规
E.尿常规"
expert3_ai_expert_ratings_clea,expert3_ai_expert_ratings_cleaned.xlsx,P,34,H032,32,0.47668393782383417,"患者女性，33岁。1小时前从2楼坠落，右腰部受伤，局部疼痛，可见肉眼血尿。查体：生命体征平稳。住院5日后自行下床活动，右腰部疼痛加剧并出现腰部包块。查生命体征P125次/分，P78/42mmHg。
7.（2分）该患者下一步最恰当的治疗措施是（A）【单选题】
A.抗休克同时准备手术
B.输血
C.抗感染
D.输液
E.继续观察"
expert3_ai_expert_ratings_clea,expert3_ai_expert_ratings_cleaned.xlsx,P,35,H033,33,0.4431137724550898,"男，81岁。主诉腰骶部疼痛3个月。直肠指诊提示前列腺增大，有结节，质地坚硬且侵犯直肠，血清PSA 79.8ng/ml，行前列腺穿刺活检诊断前列腺癌，放射性核素骨显像可见腰椎转移病灶。
8.（2分）该患者的临床分期是（A）【单选题】
A.T₄期
B.T₁期
C.T₂a期
D.T₂b期
E.T₃期"
expert3_ai_expert_ratings_clea,expert3_ai_expert_ratings_cleaned.xlsx,P,37,H035,35,0.47058823529411764,"患者女性，40岁。突发寒战高热，腰痛并尿急、尿痛1周，既往无类似病史，体格检查提示：体温39度，右侧肾区叩击痛阳性，辅助检查：尿蛋白（+），白细胞20～30个/HP，白细胞管型0～2个/低倍，比重1.021。
10.（2分）该患者最可能是（D）【单选题】
A.感染
B.肾结石合并泌尿系感染
C.膀胱炎
D.急性肾盂肾炎
E.肾炎合并泌尿系感染"
expert3_ai_expert_ratings_clea,expert3_ai_expert_ratings_cleaned.xlsx,P,39,H037,37,0.4953271028037383,"患者女性，40岁。突发寒战高热，腰痛并尿急、尿痛1周，既往无类似病史，体格检查提示：体温39度，右侧肾区叩击痛阳性，辅助检查：尿蛋白（+），白细胞20～30个/HP，白细胞管型0～2个/低倍，比重1.021。
12.（2分）为明确诊断还需要做的最主要检查是（D）【单选题】
A.血β₂微球蛋白
B.尿β₂微球蛋白
C.血BUN
D.尿细菌培养
E.血肌酐"
expert3_ai_expert_ratings_clea,expert3_ai_expert_ratings_cleaned.xlsx,P,42,H040,40,0.5432098765432098,"7.（2分）单侧肾结核，上肾盏虫蚀样改变，首选治疗方案是（A）【单选题】
A.抗结核治疗
B.病灶清除术
C.肾部分切除术
D.肾切除术
E.肾造瘘术"
expert4_ai_expert_ratings_clea,expert4_ai_expert_ratings_cleaned.xlsx,P,28,H026,26,0.5444444444444444,"65岁男性，既往体健，主诉进行性右侧睾丸肿大3年，无疼痛，无行走不便。查体：睾丸6cm×5cm×4cm，无压痛，右侧睾丸及附睾未触及，透光试验阳性，平卧后不变。
1（2分）该患者最可能的诊断为（A）【单选题】
A.睾丸鞘膜积液
B.精索鞘膜积液
C.睾丸肿瘤
D.腹股沟斜疝
E.交通性鞘膜积液"
expert4_ai_expert_ratings_clea,expert4_ai_expert_ratings_cleaned.xlsx,P,30,H028,28,0.42162162162162165,"女，49岁。今早小便后用纸擦拭后见大量血。自诉就诊前一天去附近养生院按摩，按摩师在给腰部按摩时用力较大，按摩后即感觉腰部疼痛。检查：血常规无殊，尿RBC+++/HPF。B超提示：肾增大，肾破裂，CT诊断一致
3（2分）考虑患者出血的原因最可能的是（E）【单选题】
A.肾囊肿
B.多囊肾
C.肾癌
D.肾积水
E.肾错构瘤"
expert4_ai_expert_ratings_clea,expert4_ai_expert_ratings_cleaned.xlsx,P,31,H029,29,0.45685279187817257,"女，49岁。今早小便后用纸擦拭后见大量血。自诉就诊前一天去附近养生院按摩，按摩师在给腰部按摩时用力较大，按摩后即感觉腰部疼痛。检查：血常规无殊，尿RBC+++/HPF。B超提示：肾增大，肾破裂，CT诊断一致
4（2分）为求明确诊断，进一步应行哪项检查（C）【单选题】
A.尿路造影
B.穿刺活检
C.MRI
D.肾动脉造影
E.KUB"
expert4_ai_expert_ratings_clea,expert4_ai_expert_ratings_cleaned.xlsx,P,32,H030,30,0.4397905759162304,"女，49岁。今早小便后用纸擦拭后见大量血。自诉就诊前一天去附近养生院按摩，按摩师在给腰部按摩时用力较大，按摩后即感觉腰部疼痛。检查：血常规无殊，尿RBC+++/HPF。B超提示：肾增大，肾破裂，CT诊断一致
5（2分）对该患者首选的治疗措施是（D）【单选题】
A.血肿去除手术
B.肾部分切除
C.肾切除
D.介入治疗
E.观察"
expert4_ai_expert_ratings_clea,expert4_ai_expert_ratings_cleaned.xlsx,P,33,H031,31,0.5024630541871922,"患者女性，33岁。1小时前从2楼坠落，右腰部受伤，局部疼痛，可见肉眼血尿。查体：生命体征平稳。住院5日后自行下床活动，右腰部疼痛加剧并出现腰部包块。查生命体征P125次/分，P78/42mmHg。
6.（2分）为了解患者新出现的右腰部包块来源，应首选的检查是（B）【单选题】
A.同位素肾图
B.B超
C.KUB
D.血常规
E.尿常规"
expert4_ai_expert_ratings_clea,expert4_ai_expert_ratings_cleaned.xlsx,P,34,H032,32,0.47668393782383417,"患者女性，33岁。1小时前从2楼坠落，右腰部受伤，局部疼痛，可见肉眼血尿。查体：生命体征平稳。住院5日后自行下床活动，右腰部疼痛加剧并出现腰部包块。查生命体征P125次/分，P78/42mmHg。
7.（2分）该患者下一步最恰当的治疗措施是（A）【单选题】
A.抗休克同时准备手术
B.输血
C.抗感染
D.输液
E.继续观察"
expert4_ai_expert_ratings_clea,expert4_ai_expert_ratings_cleaned.xlsx,P,35,H033,33,0.4431137724550898,"男，81岁。主诉腰骶部疼痛3个月。直肠指诊提示前列腺增大，有结节，质地坚硬且侵犯直肠，血清PSA 79.8ng/ml，行前列腺穿刺活检诊断前列腺癌，放射性核素骨显像可见腰椎转移病灶。
8.（2分）该患者的临床分期是（A）【单选题】
A.T₄期
B.T₁期
C.T₂a期
D.T₂b期
E.T₃期"
expert4_ai_expert_ratings_clea,expert4_ai_expert_ratings_cleaned.xlsx,P,37,H035,35,0.47058823529411764,"患者女性，40岁。突发寒战高热，腰痛并尿急、尿痛1周，既往无类似病史，体格检查提示：体温39度，右侧肾区叩击痛阳性，辅助检查：尿蛋白（+），白细胞20～30个/HP，白细胞管型0～2个/低倍，比重1.021。
10.（2分）该患者最可能是（D）【单选题】
A.感染
B.肾结石合并泌尿系感染
C.膀胱炎
D.急性肾盂肾炎
E.肾炎合并泌尿系感染"
expert4_ai_expert_ratings_clea,expert4_ai_expert_ratings_cleaned.xlsx,P,39,H037,37,0.4953271028037383,"患者女性，40岁。突发寒战高热，腰痛并尿急、尿痛1周，既往无类似病史，体格检查提示：体温39度，右侧肾区叩击痛阳性，辅助检查：尿蛋白（+），白细胞20～30个/HP，白细胞管型0～2个/低倍，比重1.021。
12.（2分）为明确诊断还需要做的最主要检查是（D）【单选题】
A.血β₂微球蛋白
B.尿β₂微球蛋白
C.血BUN
D.尿细菌培养
E.血肌酐"
expert4_ai_expert_ratings_clea,expert4_ai_expert_ratings_cleaned.xlsx,P,42,H040,40,0.5432098765432098,"7.（2分）单侧肾结核，上肾盏虫蚀样改变，首选治疗方案是（A）【单选题】
A.抗结核治疗
B.病灶清除术
C.肾部分切除术
D.肾切除术
E.肾造瘘术"
