item_id,paper,paper_item_no,source_true,item_type,header_item_type,source_item_id,answer_key,answer_key_from_report,test_point,topic,blueprint_cognitive_level,cognitive_level,has_vignette,char_count,flesch_reading_ease,fuzzywuzzy_ratio_max,sentencebert_cosine_max,ngram_jaccard_max,question_text
M018,M,18,MAS,A2,A2,104,D,D,尿路结石-概述,Stones,application,application,1,100,121.22000000000003,50.0,0.820811927318573,28.0,"女，55岁。因反复尿路感染就诊，尿常规检查提示pH值为7.8。腹部X线平片发现右肾区有一鹿角形高密度影。该患者尿液中形成的结石最可能是
A. 尿酸结石
B. 草酸结石
C. 胱氨酸结石
D. 磷酸盐结石
E. 黄嘌呤结石"
M019,M,19,MAS,A2,A2,140,B,B,泌尿、男性生殖系统肿瘤-前列腺癌,Tumors,application,application,1,141,-217.17999999999998,52.0,0.8415475487709045,17.0,"男，68岁。因排尿困难、尿频、尿线变细3个月就诊。直肠指检发现前列腺左叶可触及一质硬结节，边界不清。血清前列腺特异性抗原（PSA）为15ng/ml。为明确诊断，下一步最可靠的检查方法是
A. 盆腔CT平扫
B. 经直肠前列腺穿刺活检
C. 盆腔MRI增强扫描
D. 全身核素骨扫描
E. 经腹前列腺超声"
M020,M,20,MAS,A2,A2,68,A,A,尿路感染-无症状细菌尿,Infection,application,application,1,161,77.90500000000002,43.0,0.8340749144554138,12.0,"女，72岁。因“头晕、乏力”就诊，无尿频、尿急、尿痛、发热及腰痛。既往有2型糖尿病史10年。查体：BP 150/90mmHg，双肾区无叩痛。尿常规：蛋白（-），白细胞0~1/HP，亚硝酸盐（-）。为明确是否存在无症状性尿路感染，首选的检查是
A. 清洁中段尿细菌定量培养
B. 泌尿系超声
C. 尿蛋白定量
D. 尿沉渣镜检
E. 静脉肾盂造影"
M021,M,21,MAS,A2,A2,92,E,E,泌尿、男性生殖系统结核-泌尿系统结核,Tuberculosis,application,application,1,189,121.22000000000003,33.0,0.7909097671508789,12.0,"男，42岁。因“反复腰痛伴低热、乏力2个月”入院。患者1年前曾患肺结核。查体：体温37.5℃，右肾区叩击痛阳性。尿常规：白细胞（+），红细胞（++）。静脉尿路造影提示右肾上盏边缘虫蚀样改变，部分肾盂肾盏扩张。决定该患者治疗方案（药物保守或手术）的主要依据是
A. 膀胱刺激症状的严重程度
B. 血尿的严重程度
C. 尿中是否找到抗酸杆菌
D. 膀胱镜检查结果
E. 静脉尿路造影显示的病变范围与程度"
M022,M,22,MAS,A2,A2,144,C,C,泌尿、男性生殖系统肿瘤-前列腺癌,Tumors,application,application,1,176,-217.17999999999998,32.0,0.8043192028999329,12.0,"男，65岁。因PSA升高（12ng/ml）行前列腺穿刺活检，病理确诊为前列腺腺癌。盆腔MRI及全身骨扫描评估后，临床分期为T2bN0M0。患者一般情况良好，预期寿命超过10年。针对该患者目前情况，最佳的治疗方案是
A. 口服抗雄激素药物（如比卡鲁胺）
B. 双侧睾丸切除术
C. 根治性前列腺切除术
D. 皮下注射促黄体生成素释放激素类似物（LHRH-a）
E. 全身化疗"
M023,M,23,MAS,A1,A1,182,D,D,泌尿、男性生殖系统肿瘤-睾丸肿瘤,Tumors,recall,knowledge,1,62,121.22000000000003,77.0,0.796940803527832,38.0,"青年男性，单侧睾丸增大、质硬、有沉重感，应首先考虑的疾病是
A. 睾丸鞘膜积液
B. 急性睾丸炎
C. 睾丸扭转
D. 睾丸肿瘤
E. 睾丸结核"
M024,M,24,MAS,A1,A1,262,C,C,泌尿、男性生殖系统先天性畸形及其他疾病-精索静脉曲张,Andrology/Pelvic floor,recall,knowledge,0,47,121.22000000000003,45.0,0.5272597074508667,28.0,"精索静脉曲张呈海蛇团状，平静状态下可触及，其分度应为
A. 一度
B. 二度
C. 三度
D. 四度
E. 亚临床"
M025,M,25,MAS,A2,A2,313,A,A,泌尿、男性生殖系统肿瘤-前列腺癌,Tumors,application,application,1,154,-555.5799999999999,34.0,0.7754068374633789,13.0,"男，65岁。因“排尿不畅2年”行经尿道前列腺电切术（TURP）。术后病理回报：前列腺腺癌，Gleason评分3+4=7分，肿瘤局限于前列腺内，约占切除组织的5%。术前血清PSA为4.2ng/ml。根据术后病理，该患者前列腺癌的TNM分期（T分期）最可能是
A. T1期
B. T2期
C. T3a期
D. T3b期
E. T4期"
M026,M,26,MAS,A3/A4,A4,173,A,A,泌尿系统梗阻-肾积水,Obstruction,analysis,reasoning,1,147,-301.78,27.0,0.7866222858428955,12.0,"(1) 男，38岁，因“右侧腰部胀痛伴间歇性镜下血尿1年”就诊。B超提示：右肾盂分离3.5cm，右输尿管上段扩张，右肾皮质变薄。左肾未见异常。为明确右肾积水的原因，首选的检查是
A. 静脉尿路造影（IVU）
B. 逆行肾盂造影
C. CT尿路成像（CTU）
D. 磁共振尿路成像（MRU）
E. 放射性核素肾动态显像"
M027,M,27,MAS,A3/A4,A4,173,E,E,泌尿系统梗阻-肾积水,Obstruction,analysis,reasoning,1,70,-301.78,27.0,0.7866222858428955,12.0,"(2) 若想同时了解该患者右肾积水后的肾功能状况及其梗阻程度，最有价值的检查方法是
A. 逆行肾盂造影
B. MRI
C. CT
D. B超
E. 放射性核素肾图"
M028,M,28,MAS,A3/A4,A4,173,C,C,泌尿系统梗阻-肾积水,Obstruction,analysis,reasoning,1,99,-301.78,27.0,0.7866222858428955,12.0,"(3) 放射性核素肾图检查提示该患者右肾呈梗阻型曲线，GFR明显降低。下一步最合适的治疗是
A. 继续观察，定期复查
B. 口服抗生素预防感染
C. 行右肾盂输尿管连接部成形术
D. 行右肾切除术
E. 行右肾造瘘术引流"
M029,M,29,MAS,A3/A4,A4,433,A,A,泌尿系统梗阻-良性前列腺增生、泌尿、男性生殖系统肿瘤-前列腺癌,Tumors,analysis,reasoning,1,209,-809.3799999999999,30.0,0.9002728462219238,8.0,"(1) 男性，60岁，因“进行性排尿困难2年，加重伴夜尿增多3个月”就诊。患者2年前出现排尿踌躇、尿线变细，近3个月夜尿达4-5次，严重影响睡眠。直肠指检：前列腺Ⅱ度增大，表面光滑，质韧，中央沟变浅，未触及明确硬结。血清总前列腺特异性抗原（tPSA）检测结果为8.5ng/ml。为初步评估前列腺增生程度及残余尿量，首选的检查是
A. 泌尿系统B超（经腹或经直肠）
B. 尿流率检查
C. 前列腺MRI
D. 前列腺穿刺活检
E. 膀胱镜检查"
M030,M,30,MAS,A3/A4,A4,433,D,D,泌尿系统梗阻-良性前列腺增生、泌尿、男性生殖系统肿瘤-前列腺癌,Tumors,analysis,reasoning,1,143,-809.3799999999999,30.0,0.9002728462219238,8.0,"(2) B超提示前列腺体积增大，以中叶为著，突入膀胱，残余尿量约80ml。患者tPSA水平轻度升高，为排除前列腺癌，下一步最可靠的检查方法是
A. 复查tPSA及游离PSA（fPSA）
B. 经直肠前列腺超声（TRUS）
C. 前列腺多参数磁共振（mp-MRI）
D. 前列腺系统性穿刺活检
E. 全身骨扫描"
M031,M,31,MAS,A3/A4,A4,433,B,D,泌尿系统梗阻-良性前列腺增生、泌尿、男性生殖系统肿瘤-前列腺癌,Tumors,analysis,reasoning,1,127,-809.3799999999999,30.0,0.9002728462219238,8.0,"(3) 若前列腺穿刺活检病理结果为良性前列腺增生，未见癌。针对患者目前的排尿困难症状，首选的治疗方案是
A. 观察等待
B. 口服α受体阻滞剂（如坦索罗辛）
C. 口服5α还原酶抑制剂（如非那雄胺）
D. α受体阻滞剂联合5α还原酶抑制剂
E. 经尿道前列腺电切术（TURP）"
M032,M,32,MAS,A3/A4,A4,479,D,B,尿路结石-概述、尿路结石-上尿路结石,Stones,analysis,reasoning,1,241,-217.17999999999998,23.0,0.779958963394165,7.0,"(1) 女，28岁，孕18周。因“突发右侧腰腹部剧烈绞痛2小时，伴恶心、呕吐”急诊。疼痛呈阵发性，向会阴部放射。呕吐胃内容物2次。无发热、血尿。查体：生命体征平稳，痛苦面容，右侧肾区叩击痛阳性。尿常规检查：尿蛋白（-），红细胞满视野/HP，白细胞0-2个/HP。泌尿系B超提示：右肾集合系统分离，肾盂前后径约2.5cm，右输尿管上段轻度扩张；左肾及输尿管未见异常。宫内胎儿情况良好。该孕妇最可能的诊断是
A. 右侧急性肾盂肾炎
B. 右侧输尿管结石
C. 卵巢囊肿蒂扭转
D. 急性阑尾炎
E. 胎盘早剥"
M033,M,33,MAS,A3/A4,A4,479,C,D,尿路结石-概述、尿路结石-上尿路结石,Stones,analysis,reasoning,0,98,-217.17999999999998,23.0,0.779958963394165,7.0,"(2) 为明确结石位置、大小及评估肾功能，同时避免胎儿辐射暴露，下一步最适宜的检查是
A. 腹部X线平片（KUB）
B. 静脉尿路造影（IVU）
C. 腹部CT平扫
D. 磁共振尿路成像（MRU）
E. 放射性核素肾图"
M034,M,34,MAS,A3/A4,A4,479,D,C,尿路结石-概述、尿路结石-上尿路结石,Stones,analysis,reasoning,1,112,-217.17999999999998,23.0,0.779958963394165,7.0,"(3) 患者经解痉、止痛、补液等保守治疗后疼痛缓解。复查B超提示右肾积水无明显加重。后续处理原则是
A. 立即行输尿管镜碎石取石术
B. 行经皮肾穿刺造瘘术
C. 继续保守治疗，定期复查B超
D. 建议终止妊娠后再处理结石
E. 行体外冲击波碎石"
M035,M,35,MAS,A3/A4,A4,558,B,D,泌尿、男性生殖系统肿瘤-前列腺癌,Tumors,analysis,reasoning,1,150,-134.60999999999996,32.0,0.7690925598144531,8.0,"(1) 男性，78岁，因“腰骶部持续性疼痛2个月，加重伴排尿困难1周”入院。患者疼痛夜间明显，影响睡眠。直肠指检：前列腺Ⅲ度增大，表面可触及质硬结节，边界不清，指套退出无染血。血清总PSA 82.0 ng/ml。该患者最可能的诊断是
A. 良性前列腺增生
B. 前列腺结核
C. 前列腺肉瘤
D. 前列腺癌
E. 慢性前列腺炎"
M036,M,36,MAS,A3/A4,A4,558,C,B,泌尿、男性生殖系统肿瘤-前列腺癌,Tumors,analysis,reasoning,0,74,-134.60999999999996,32.0,0.7690925598144531,8.0,"(2) 为明确肿瘤分期，下一步最应进行的检查是
A. 经直肠前列腺超声（TRUS）
B. 全身骨显像（ECT）
C. 盆腔CT平扫
D. 前列腺穿刺活检
E. 腹部MRI"
M037,M,37,MAS,A3/A4,A4,558,D,C,泌尿、男性生殖系统肿瘤-前列腺癌,Tumors,analysis,reasoning,1,115,-134.60999999999996,32.0,0.7690925598144531,8.0,"(3) 若骨显像提示腰椎（L3、L4）存在放射性浓聚灶，前列腺穿刺活检确诊为前列腺腺癌，Gleason评分4+5=9分。根据TNM分期，该患者最可能属于
A. T₂N₀M₀
B. T₃N₀M₀
C. T₄N₀M₁
D. T₃N₁M₀
E. T₂N₀M₁"
M038,M,38,MAS,A3/A4,A4,490,C,D,泌尿系统外伤-肾外伤,Trauma,analysis,reasoning,1,146,-47.97999999999996,44.0,0.8109114170074463,16.0,"(1) 男，35岁。左腰部被钝物撞击后出现持续性钝痛1天。查体：生命体征平稳，血压125/85mmHg，心率80次/分。左肾区叩痛明显，腹部平坦，无肌紧张、压痛及反跳痛。尿常规检查：红细胞5～10个/高倍视野。该患者最可能的诊断是
A. 肾部分裂伤
B. 肾全层裂伤
C. 肾蒂损伤
D. 肾挫伤
E. 肾盂撕裂伤"
M039,M,39,MAS,A3/A4,A4,490,A,C,泌尿系统外伤-肾外伤,Trauma,analysis,reasoning,0,68,-47.97999999999996,44.0,0.8109114170074463,16.0,"(2) 为明确肾损伤程度及范围，应首选的检查是
A. 腹部B超
B. 静脉尿路造影（IVU）
C. 腹部CT平扫+增强
D. 肾动脉造影
E. 放射性核素肾图"
M040,M,40,MAS,B,A4,490,C,A,泌尿系统外伤-肾外伤,Trauma,comprehension,knowledge,0,102,-47.97999999999996,44.0,0.8109114170074463,16.0,"(3) 若CT检查证实为单纯性肾挫伤，包膜完整，无活动性出血，下一步最佳处理是
A. 绝对卧床休息，密切观察生命体征及尿液变化
B. 立即行肾部分切除术
C. 行肾动脉栓塞术
D. 预防性使用广谱抗生素
E. 急诊行剖腹探查术"
M041,M,41,MAS,B,B,122,E,C,尿路结石-上尿路结石,Stones,comprehension,knowledge,1,90,121.22000000000003,28.0,0.8852803707122803,28.0,"(1) 患者，男，45岁，右肾盂结石2.0cm，右肾轻度积水，肾功能正常，无感染。首选的治疗方法是
A. 肾盂切开取石
B. 药物排石
C. 体外冲击波碎石
D. 多饮水密切随访
E. 经皮肾镜碎石取石"
M042,M,42,MAS,B,B,122,D,E,尿路结石-上尿路结石,Stones,comprehension,knowledge,1,106,121.22000000000003,28.0,0.8852803707122803,28.0,"(2) 患者，女，50岁，左肾盂结石2.8cm，左肾中度积水，IVP显示肾功能良好。针对该结石大小和肾积水情况，最适宜的治疗方法是
A. 肾盂切开取石
B. 药物排石
C. 体外冲击波碎石
D. 多饮水密切随访
E. 经皮肾镜碎石取石"
M043,M,43,MAS,X,X,149,ABD,ABD,泌尿、男性生殖系统肿瘤-肾肿瘤（肾癌、肾母细胞瘤、肾血管平滑肌脂肪瘤）,Tumors,analysis,reasoning,0,53,36.62000000000003,51.0,0.7890005111694336,16.0,"肾母细胞瘤（Wilms瘤）常见的临床表现包括
A. 无症状的腹部巨大包块
B. 腹痛
C. 肉眼血尿
D. 高血压
E. 发热"
M044,M,44,MAS,X,X,159,ABC,ABC,泌尿、男性生殖系统肿瘤-尿路上皮肿瘤（膀胱肿瘤，肾盂、输尿管癌）,Tumors,analysis,reasoning,0,111,121.22000000000003,27.0,0.8432117700576782,10.0,"关于膀胱癌的病理学特征，下列说法正确的有
A. 最常见的组织类型是移行细胞癌
B. 病理上最重要的因素是浸润深度
C. 鳞癌的发生常与长期慢性感染或结石刺激有关
D. 腺癌多发生于膀胱三角区和顶部
E. 所有类型的膀胱癌预后主要取决于组织类型"
M045,M,45,MAS,X,X,664,ABCDE,ABCDE,泌尿、男性生殖系统先天性畸形及其他疾病-鞘膜积液、泌尿、男性生殖系统结核-男性生殖系统结核、泌尿、男性生殖系统肿瘤-睾丸肿瘤,Tumors,analysis,reasoning,0,152,-132.57999999999996,36.0,0.8421105146408081,14.0,"关于阴囊内疾病的鉴别诊断，下列说法正确的有
A. 睾丸肿瘤多为实质性肿块，质硬，无痛，透光试验阴性
B. 睾丸鞘膜积液时睾丸多不能触及，透光试验阳性
C. 交通性鞘膜积液卧位时肿块可缩小或消失，透光试验阳性
D. 附睾结核常形成冷脓肿，与皮肤粘连，可破溃形成窦道
E. 精索静脉曲张在平卧位时可消失，Valsalva试验阳性"
M046,M,46,MAS,X,X,421,ABDE,ABDE,男性生殖系统感染-前列腺炎、泌尿、男性生殖系统肿瘤-前列腺癌,Tumors,analysis,reasoning,1,111,36.62000000000003,54.0,0.854499340057373,26.0,"男性，70岁，近期感下腹不适，尿道口“滴白”，感睡眠差，乏力。为明确诊断，下列哪些检查是合理且必要的
A. 尿常规检查
B. 前列腺液常规检查
C. 前列腺特异性抗原(PSA)测定
D. 泌尿系B超（经腹或经直肠）
E. 前列腺按摩液细菌培养"
M047,M,47,MAS,X,X,596,ABC,ABC,男性生殖系统感染-附睾炎,Infection,analysis,reasoning,1,132,36.62000000000003,76.0,0.9659481048583984,56.0,"男，69岁，前列腺电切除术后14天，左侧阴囊肿痛，发热2天，体温38.7℃。查体：左侧附睾头部肿大明显，与睾丸分界不清，触痛明显，局部阴囊皮温高。为明确诊断，下列哪些检查是合理的？
A. 阴囊超声检查
B. 血常规检查
C. 尿常规及尿培养
D. 前列腺液常规检查
E. 阴囊CT平扫"
M048,M,48,MAS,X,X,550,ABC,ABC,泌尿、男性生殖系统先天性畸形及其他疾病-隐睾,Andrology/Pelvic floor,analysis,reasoning,1,137,121.22000000000003,62.0,0.9493162631988525,34.0,"患儿，男，1岁。B型超声检查发现左侧睾丸位于腹股沟管内。经内分泌治疗10周后睾丸仍未下降到阴囊内。关于隐睾的治疗，下列说法正确的有
A. 1岁以内睾丸有自行下降可能
B. 内分泌治疗无效者应行睾丸下降固定术
C. 手术最佳时机为1-2岁
D. 单侧隐睾无需治疗
E. 5岁后手术对生育能力无影响"
M049,M,49,MAS,X,X,162,ABCD,ABCD,泌尿、男性生殖系统肿瘤-肾肿瘤（肾癌、肾母细胞瘤、肾血管平滑肌脂肪瘤）、泌尿、男性生殖系统肿瘤-前列腺癌、泌尿、男性生殖系统肿瘤-睾丸肿瘤、泌尿、男性生殖系统肿瘤-阴茎癌,Tumors,analysis,reasoning,0,149,36.62000000000003,27.0,0.7983450889587402,11.0,"关于泌尿生殖系统肿瘤，下列说法正确的有
A. 睾丸肿瘤的病理分型包括精原细胞瘤、畸胎瘤、胚胎癌和卵黄囊肿瘤等
B. 在所列恶性肿瘤中，化疗对睾丸精原细胞癌疗效最好
C. 诊断肾癌最常见的检查方法是CT平扫+增强
D. 阴茎癌最主要的预防措施是尽早行包皮环切术
E. 右侧睾丸质韧肿物，与睾丸相连，应首先考虑睾丸鞘膜积液"
M050,M,50,MAS,X,X,701,ABCD,ABCD,尿路结石-膀胱结石,Stones,analysis,reasoning,0,81,121.22000000000003,27.0,0.8512560129165649,5.0,"关于膀胱结石的临床表现，下列说法正确的有
A. 典型症状为排尿中断伴疼痛
B. 改变体位后可能恢复排尿
C. 可伴有终末血尿
D. 常继发于下尿路梗阻
E. 首选治疗为体外冲击波碎石"
H001,P,1,Human,A2,A2,1,D,D,泌尿系统梗阻 - 前列腺增生的并发症与处理,Obstruction,application,application,1,252,-217.17999999999998,,,,"患者男，81岁，因排尿困难伴尿痛2月余入院。患者2月余前无明显诱因下突然出现排尿困难，尿流细，时有中断，用力仍不能顺利排尿，并伴有下腹及阴茎胀痛，头痛、冷汗，同时出现尿频尿急夜尿增多，约1小时1次，每次尿少，偶有尿失禁，无肉眼血尿。外院予坦索罗辛治疗效果不明显。膀胱镜示多发赘生物，前列腺增生凸向尿道。20年前患者曾两次因前列腺增生行手术治疗。最有可能进行以下哪项治疗？
A. 留置导尿管，改用特拉唑嗪
B. 留置尿管，联用非那雄胺
C. 留置尿管，行TURP
D. 膀胱造瘘，行TURP
E. 留置尿管，行根治性膀胱全切术"
H002,P,2,Human,A2,A2,2,D,D,泌尿系统肿瘤 - 前列腺癌,Tumors,application,application,1,110,35.60500000000002,,,,"患者男，68岁。因“体重进行性下降、排尿困难半年余""入院。外院查PSA 11.42ng/ml，无肉眼血尿，无腰背酸胀等不适。既往无殊。对于该患者最有可能的疾病，最常见的远处转移部位是:
A. 肺
B. 肝
C. 膀胱
D. 骨骼
E. 肾上腺"
H003,P,3,Human,A1,A1,3,A,A,泌尿系统梗阻 - 前列腺增生,Obstruction,recall,knowledge,0,39,121.22000000000003,,,,"前列腺增生症最早出现的症状往往是:
A. 尿频
B. 排尿困难
C. 血尿
D. 尿痛
E. 尿急"
