source,item_seq,family,dimension,max_score,raw_score,any_score_capped_to_max
Human,7,ULM,Correctness,5,5.0,False
Human,7,ULM,Exclusiveness,5,5.0,False
Human,7,ULM,Explanation score,5,3.6666666666666665,False
Human,7,ULM,Explicitness,4,3.3333333333333335,False
Human,7,ULM,Fairness,3,3.0,False
Human,7,ULM,Feedback,5,3.3333333333333335,False
Human,7,ULM,Fluency,5,5.0,False
Human,7,ULM,Focus,5,4.0,False
Human,7,ULM,Goal alignment,5,5.0,False
Human,7,ULM,Guess resistance,5,3.6666666666666665,False
Human,7,ULM,Plausibility,5,2.6666666666666665,False
Human,7,ULM,Reasoning,4,1.3333333333333333,False
Human,7,ULM,Solvability,5,5.0,False
Human,8,QGval,Answer consistency,5,4.666666666666667,False
Human,8,QGval,Answerability,5,4.333333333333333,False
Human,8,QGval,Clarity,5,3.3333333333333335,False
Human,8,QGval,Conciseness,5,4.0,False
Human,8,QGval,Consistency,5,4.0,False
Human,8,QGval,Fluency,5,4.0,False
Human,8,QGval,Relevance,5,4.333333333333333,False
Human,8,ULM,Absoluteness,5,4.666666666666667,False
Human,8,ULM,Completeness,5,4.333333333333333,False
Human,8,ULM,Comprehensiveness,5,4.0,False
Human,8,ULM,Correctness,5,4.0,False
Human,8,ULM,Exclusiveness,5,3.6666666666666665,False
Human,8,ULM,Explanation score,5,3.6666666666666665,False
Human,8,ULM,Explicitness,4,3.3333333333333335,False
Human,8,ULM,Fairness,3,3.0,False
Human,8,ULM,Feedback,5,4.0,False
Human,8,ULM,Fluency,5,4.0,False
Human,8,ULM,Focus,5,4.0,False
Human,8,ULM,Goal alignment,5,4.333333333333333,False
Human,8,ULM,Guess resistance,5,3.3333333333333335,False
Human,8,ULM,Plausibility,5,4.333333333333333,False
Human,8,ULM,Reasoning,4,3.3333333333333335,False
Human,8,ULM,Solvability,5,4.333333333333333,False
Human,9,QGval,Answer consistency,5,5.0,False
Human,9,QGval,Answerability,5,5.0,False
Human,9,QGval,Clarity,5,5.0,False
Human,9,QGval,Conciseness,5,5.0,False
Human,9,QGval,Consistency,5,4.666666666666667,False
Human,9,QGval,Fluency,5,5.0,False
Human,9,QGval,Relevance,5,5.0,False
Human,9,ULM,Absoluteness,5,5.0,False
Human,9,ULM,Completeness,5,5.0,False
Human,9,ULM,Comprehensiveness,5,2.0,False
Human,9,ULM,Correctness,5,5.0,False
Human,9,ULM,Exclusiveness,5,5.0,False
Human,9,ULM,Explanation score,5,3.6666666666666665,False
Human,9,ULM,Explicitness,4,3.6666666666666665,False
Human,9,ULM,Fairness,3,3.0,False
Human,9,ULM,Feedback,5,3.3333333333333335,False
Human,9,ULM,Fluency,5,5.0,False
Human,9,ULM,Focus,5,4.333333333333333,False
Human,9,ULM,Goal alignment,5,5.0,False
Human,9,ULM,Guess resistance,5,4.333333333333333,False
Human,9,ULM,Plausibility,5,3.3333333333333335,False
Human,9,ULM,Reasoning,4,1.3333333333333333,False
Human,9,ULM,Solvability,5,5.0,False
Human,10,QGval,Answer consistency,5,5.0,False
Human,10,QGval,Answerability,5,5.0,False
Human,10,QGval,Clarity,5,5.0,False
Human,10,QGval,Conciseness,5,5.0,False
Human,10,QGval,Consistency,5,5.0,False
Human,10,QGval,Fluency,5,5.0,False
Human,10,QGval,Relevance,5,5.0,False
Human,10,ULM,Absoluteness,5,5.0,False
Human,10,ULM,Completeness,5,5.0,False
Human,10,ULM,Comprehensiveness,5,2.3333333333333335,False
Human,10,ULM,Correctness,5,5.0,False
Human,10,ULM,Exclusiveness,5,5.0,False
Human,10,ULM,Explanation score,5,3.6666666666666665,False
Human,10,ULM,Explicitness,4,3.3333333333333335,False
Human,10,ULM,Fairness,3,3.0,False
Human,10,ULM,Feedback,5,3.3333333333333335,False
Human,10,ULM,Fluency,5,5.0,False
Human,10,ULM,Focus,5,4.333333333333333,False
Human,10,ULM,Goal alignment,5,5.0,False
Human,10,ULM,Guess resistance,5,4.0,False
Human,10,ULM,Plausibility,5,3.3333333333333335,False
Human,10,ULM,Reasoning,4,1.6666666666666667,False
Human,10,ULM,Solvability,5,5.0,False
Human,11,QGval,Answer consistency,5,5.0,False
Human,11,QGval,Answerability,5,5.0,False
Human,11,QGval,Clarity,5,5.0,False
Human,11,QGval,Conciseness,5,5.0,False
Human,11,QGval,Consistency,5,5.0,False
Human,11,QGval,Fluency,5,5.0,False
Human,11,QGval,Relevance,5,5.0,False
Human,11,ULM,Absoluteness,5,5.0,False
Human,11,ULM,Completeness,5,5.0,False
Human,11,ULM,Comprehensiveness,5,2.3333333333333335,False
Human,11,ULM,Correctness,5,5.0,False
Human,11,ULM,Exclusiveness,5,5.0,False
Human,11,ULM,Explanation score,5,3.6666666666666665,False
Human,11,ULM,Explicitness,4,3.3333333333333335,False
Human,11,ULM,Fairness,3,3.0,False
Human,11,ULM,Feedback,5,3.3333333333333335,False
Human,11,ULM,Fluency,5,5.0,False
Human,11,ULM,Focus,5,4.333333333333333,False
Human,11,ULM,Goal alignment,5,5.0,False
Human,11,ULM,Guess resistance,5,4.0,False
Human,11,ULM,Plausibility,5,3.0,False
Human,11,ULM,Reasoning,4,2.0,False
Human,11,ULM,Solvability,5,5.0,False
Human,12,QGval,Answer consistency,5,5.0,False
Human,12,QGval,Answerability,5,4.666666666666667,False
Human,12,QGval,Clarity,5,4.666666666666667,False
Human,12,QGval,Conciseness,5,5.0,False
Human,12,QGval,Consistency,5,4.666666666666667,False
Human,12,QGval,Fluency,5,5.0,False
Human,12,QGval,Relevance,5,5.0,False
Human,12,ULM,Absoluteness,5,5.0,False
Human,12,ULM,Completeness,5,5.0,False
Human,12,ULM,Comprehensiveness,5,1.6666666666666667,False
Human,12,ULM,Correctness,5,5.0,False
Human,12,ULM,Exclusiveness,5,4.666666666666667,False
Human,12,ULM,Explanation score,5,3.6666666666666665,False
Human,12,ULM,Explicitness,4,3.3333333333333335,False
Human,12,ULM,Fairness,3,3.0,False
Human,12,ULM,Feedback,5,3.3333333333333335,False
Human,12,ULM,Fluency,5,5.0,False
Human,12,ULM,Focus,5,4.333333333333333,False
Human,12,ULM,Goal alignment,5,5.0,False
Human,12,ULM,Guess resistance,5,4.333333333333333,False
Human,12,ULM,Plausibility,5,3.3333333333333335,False
Human,12,ULM,Reasoning,4,2.0,False
Human,12,ULM,Solvability,5,5.0,False
Human,13,QGval,Answer consistency,5,4.333333333333333,False
Human,13,QGval,Answerability,5,5.0,False
Human,13,QGval,Clarity,5,5.0,False
Human,13,QGval,Conciseness,5,4.333333333333333,False
Human,13,QGval,Consistency,5,5.0,False
Human,13,QGval,Fluency,5,4.333333333333333,False
Human,13,QGval,Relevance,5,5.0,False
Human,13,ULM,Absoluteness,5,5.0,False
Human,13,ULM,Completeness,5,5.0,False
Human,13,ULM,Comprehensiveness,5,1.6666666666666667,False
Human,13,ULM,Correctness,5,5.0,False
Human,13,ULM,Exclusiveness,5,5.0,False
Human,13,ULM,Explanation score,5,4.333333333333333,False
Human,13,ULM,Explicitness,4,3.3333333333333335,False
Human,13,ULM,Fairness,3,3.0,False
Human,13,ULM,Feedback,5,4.0,False
Human,13,ULM,Fluency,5,5.0,False
Human,13,ULM,Focus,5,4.333333333333333,False
Human,13,ULM,Goal alignment,5,4.333333333333333,False
Human,13,ULM,Guess resistance,5,4.333333333333333,False
Human,13,ULM,Plausibility,5,3.3333333333333335,False
Human,13,ULM,Reasoning,4,2.0,False
Human,13,ULM,Solvability,5,5.0,False
Human,14,QGval,Answer consistency,5,5.0,False
Human,14,QGval,Answerability,5,5.0,False
Human,14,QGval,Clarity,5,5.0,False
Human,14,QGval,Conciseness,5,5.0,False
Human,14,QGval,Consistency,5,5.0,False
Human,14,QGval,Fluency,5,5.0,False
Human,14,QGval,Relevance,5,5.0,False
Human,14,ULM,Absoluteness,5,5.0,False
Human,14,ULM,Completeness,5,5.0,False
Human,14,ULM,Comprehensiveness,5,2.0,False
Human,14,ULM,Correctness,5,5.0,False
Human,14,ULM,Exclusiveness,5,5.0,False
Human,14,ULM,Explanation score,5,3.6666666666666665,False
Human,14,ULM,Explicitness,4,3.3333333333333335,False
Human,14,ULM,Fairness,3,3.0,False
Human,14,ULM,Feedback,5,3.3333333333333335,False
Human,14,ULM,Fluency,5,5.0,False
Human,14,ULM,Focus,5,4.333333333333333,False
Human,14,ULM,Goal alignment,5,5.0,False
Human,14,ULM,Guess resistance,5,4.333333333333333,False
Human,14,ULM,Plausibility,5,3.3333333333333335,False
Human,14,ULM,Reasoning,4,2.0,False
Human,14,ULM,Solvability,5,5.0,False
Human,15,QGval,Answer consistency,5,5.0,False
Human,15,QGval,Answerability,5,5.0,False
Human,15,QGval,Clarity,5,5.0,False
Human,15,QGval,Conciseness,5,5.0,False
Human,15,QGval,Consistency,5,5.0,False
Human,15,QGval,Fluency,5,5.0,False
Human,15,QGval,Relevance,5,5.0,False
Human,15,ULM,Absoluteness,5,5.0,False
Human,15,ULM,Completeness,5,5.0,False
Human,15,ULM,Comprehensiveness,5,3.0,False
Human,15,ULM,Correctness,5,5.0,False
Human,15,ULM,Exclusiveness,5,5.0,False
Human,15,ULM,Explanation score,5,4.333333333333333,False
Human,15,ULM,Explicitness,4,3.3333333333333335,False
Human,15,ULM,Fairness,3,3.0,False
Human,15,ULM,Feedback,5,4.0,False
Human,15,ULM,Fluency,5,5.0,False
Human,15,ULM,Focus,5,4.333333333333333,False
Human,15,ULM,Goal alignment,5,5.0,False
Human,15,ULM,Guess resistance,5,4.333333333333333,False
Human,15,ULM,Plausibility,5,4.0,False
Human,15,ULM,Reasoning,4,3.0,False
Human,15,ULM,Solvability,5,5.0,False
Human,16,QGval,Answer consistency,5,5.0,False
Human,16,QGval,Answerability,5,5.0,False
Human,16,QGval,Clarity,5,5.0,False
Human,16,QGval,Conciseness,5,5.0,False
Human,16,QGval,Consistency,5,5.0,False
Human,16,QGval,Fluency,5,5.0,False
Human,16,QGval,Relevance,5,5.0,False
Human,16,ULM,Absoluteness,5,5.0,False
Human,16,ULM,Completeness,5,5.0,False
Human,16,ULM,Comprehensiveness,5,2.3333333333333335,False
Human,16,ULM,Correctness,5,5.0,False
Human,16,ULM,Exclusiveness,5,5.0,False
Human,16,ULM,Explanation score,5,3.6666666666666665,False
Human,16,ULM,Explicitness,4,3.3333333333333335,False
Human,16,ULM,Fairness,3,3.0,False
Human,16,ULM,Feedback,5,3.3333333333333335,False
Human,16,ULM,Fluency,5,5.0,False
Human,16,ULM,Focus,5,4.333333333333333,False
Human,16,ULM,Goal alignment,5,5.0,False
Human,16,ULM,Guess resistance,5,4.333333333333333,False
Human,16,ULM,Plausibility,5,3.3333333333333335,False
Human,16,ULM,Reasoning,4,2.0,False
Human,16,ULM,Solvability,5,5.0,False
Human,17,QGval,Answer consistency,5,5.0,False
Human,17,QGval,Answerability,5,5.0,False
Human,17,QGval,Clarity,5,5.0,False
Human,17,QGval,Conciseness,5,5.0,False
Human,17,QGval,Consistency,5,5.0,False
Human,17,QGval,Fluency,5,4.666666666666667,False
Human,17,QGval,Relevance,5,5.0,False
Human,17,ULM,Absoluteness,5,5.0,False
Human,17,ULM,Completeness,5,5.0,False
Human,17,ULM,Comprehensiveness,5,3.6666666666666665,False
Human,17,ULM,Correctness,5,5.0,False
Human,17,ULM,Exclusiveness,5,5.0,False
Human,17,ULM,Explanation score,5,4.333333333333333,False
Human,17,ULM,Explicitness,4,3.3333333333333335,False
Human,17,ULM,Fairness,3,3.0,False
Human,17,ULM,Feedback,5,4.333333333333333,False
Human,17,ULM,Fluency,5,4.666666666666667,False
Human,17,ULM,Focus,5,4.333333333333333,False
Human,17,ULM,Goal alignment,5,5.0,False
Human,17,ULM,Guess resistance,5,4.333333333333333,False
Human,17,ULM,Plausibility,5,4.333333333333333,False
Human,17,ULM,Reasoning,4,3.3333333333333335,False
Human,17,ULM,Solvability,5,5.0,False
Human,18,QGval,Answer consistency,5,5.0,False
Human,18,QGval,Answerability,5,5.0,False
Human,18,QGval,Clarity,5,5.0,False
Human,18,QGval,Conciseness,5,5.0,False
Human,18,QGval,Consistency,5,5.0,False
Human,18,QGval,Fluency,5,5.0,False
Human,18,QGval,Relevance,5,5.0,False
Human,18,ULM,Absoluteness,5,5.0,False
Human,18,ULM,Completeness,5,5.0,False
Human,18,ULM,Comprehensiveness,5,2.0,False
Human,18,ULM,Correctness,5,5.0,False
Human,18,ULM,Exclusiveness,5,5.0,False
Human,18,ULM,Explanation score,5,3.6666666666666665,False
Human,18,ULM,Explicitness,4,3.3333333333333335,False
Human,18,ULM,Fairness,3,3.0,False
Human,18,ULM,Feedback,5,3.3333333333333335,False
Human,18,ULM,Fluency,5,5.0,False
Human,18,ULM,Focus,5,4.333333333333333,False
Human,18,ULM,Goal alignment,5,5.0,False
Human,18,ULM,Guess resistance,5,4.333333333333333,False
Human,18,ULM,Plausibility,5,3.3333333333333335,False
Human,18,ULM,Reasoning,4,2.3333333333333335,False
Human,18,ULM,Solvability,5,5.0,False
Human,19,QGval,Answer consistency,5,5.0,False
Human,19,QGval,Answerability,5,5.0,False
Human,19,QGval,Clarity,5,5.0,False
Human,19,QGval,Conciseness,5,5.0,False
Human,19,QGval,Consistency,5,5.0,False
Human,19,QGval,Fluency,5,4.666666666666667,False
Human,19,QGval,Relevance,5,5.0,False
Human,19,ULM,Absoluteness,5,5.0,False
Human,19,ULM,Completeness,5,5.0,False
Human,19,ULM,Comprehensiveness,5,3.3333333333333335,False
Human,19,ULM,Correctness,5,5.0,False
Human,19,ULM,Exclusiveness,5,5.0,False
Human,19,ULM,Explanation score,5,4.333333333333333,False
Human,19,ULM,Explicitness,4,3.3333333333333335,False
Human,19,ULM,Fairness,3,3.0,False
Human,19,ULM,Feedback,5,4.0,False
Human,19,ULM,Fluency,5,5.0,False
Human,19,ULM,Focus,5,4.333333333333333,False
Human,19,ULM,Goal alignment,5,5.0,False
Human,19,ULM,Guess resistance,5,4.333333333333333,False
Human,19,ULM,Plausibility,5,4.0,False
Human,19,ULM,Reasoning,4,3.0,False
Human,19,ULM,Solvability,5,5.0,False
Human,20,QGval,Answer consistency,5,5.0,False
Human,20,QGval,Answerability,5,5.0,False
Human,20,QGval,Clarity,5,5.0,False
Human,20,QGval,Conciseness,5,5.0,False
Human,20,QGval,Consistency,5,5.0,False
Human,20,QGval,Fluency,5,5.0,False
Human,20,QGval,Relevance,5,5.0,False
Human,20,ULM,Absoluteness,5,5.0,False
Human,20,ULM,Completeness,5,5.0,False
Human,20,ULM,Comprehensiveness,5,1.6666666666666667,False
Human,20,ULM,Correctness,5,5.0,False
Human,20,ULM,Exclusiveness,5,5.0,False
Human,20,ULM,Explanation score,5,3.6666666666666665,False
Human,20,ULM,Explicitness,4,3.3333333333333335,False
Human,20,ULM,Fairness,3,3.0,False
Human,20,ULM,Feedback,5,3.3333333333333335,False
Human,20,ULM,Fluency,5,5.0,False
Human,20,ULM,Focus,5,4.333333333333333,False
Human,20,ULM,Goal alignment,5,5.0,False
Human,20,ULM,Guess resistance,5,4.333333333333333,False
Human,20,ULM,Plausibility,5,3.0,False
Human,20,ULM,Reasoning,4,2.0,False
Human,20,ULM,Solvability,5,5.0,False
Human,21,QGval,Answer consistency,5,4.333333333333333,False
Human,21,QGval,Answerability,5,5.0,False
Human,21,QGval,Clarity,5,5.0,False
Human,21,QGval,Conciseness,5,5.0,False
Human,21,QGval,Consistency,5,5.0,False
Human,21,QGval,Fluency,5,5.0,False
Human,21,QGval,Relevance,5,5.0,False
Human,21,ULM,Absoluteness,5,5.0,False
Human,21,ULM,Completeness,5,5.0,False
Human,21,ULM,Comprehensiveness,5,1.6666666666666667,False
Human,21,ULM,Correctness,5,5.0,False
Human,21,ULM,Exclusiveness,5,5.0,False
Human,21,ULM,Explanation score,5,3.6666666666666665,False
Human,21,ULM,Explicitness,4,3.3333333333333335,False
Human,21,ULM,Fairness,3,3.0,False
Human,21,ULM,Feedback,5,3.3333333333333335,False
Human,21,ULM,Fluency,5,5.0,False
Human,21,ULM,Focus,5,4.333333333333333,False
Human,21,ULM,Goal alignment,5,5.0,False
Human,21,ULM,Guess resistance,5,4.333333333333333,False
Human,21,ULM,Plausibility,5,3.0,False
Human,21,ULM,Reasoning,4,2.0,False
Human,21,ULM,Solvability,5,5.0,False
Human,22,QGval,Answer consistency,5,5.0,False
Human,22,QGval,Answerability,5,5.0,False
Human,22,QGval,Clarity,5,5.0,False
Human,22,QGval,Conciseness,5,5.0,False
Human,22,QGval,Consistency,5,5.0,False
Human,22,QGval,Fluency,5,5.0,False
Human,22,QGval,Relevance,5,5.0,False
Human,22,ULM,Absoluteness,5,5.0,False
Human,22,ULM,Completeness,5,5.0,False
Human,22,ULM,Comprehensiveness,5,3.0,False
Human,22,ULM,Correctness,5,5.0,False
Human,22,ULM,Exclusiveness,5,5.0,False
Human,22,ULM,Explanation score,5,4.333333333333333,False
Human,22,ULM,Explicitness,4,3.3333333333333335,False
Human,22,ULM,Fairness,3,3.0,False
Human,22,ULM,Feedback,5,4.0,False
Human,22,ULM,Fluency,5,5.0,False
Human,22,ULM,Focus,5,5.0,False
Human,22,ULM,Goal alignment,5,5.0,False
Human,22,ULM,Guess resistance,5,4.333333333333333,False
Human,22,ULM,Plausibility,5,3.3333333333333335,False
Human,22,ULM,Reasoning,4,2.0,False
Human,22,ULM,Solvability,5,5.0,False
Human,23,QGval,Answer consistency,5,4.333333333333333,False
Human,23,QGval,Answerability,5,5.0,False
Human,23,QGval,Clarity,5,5.0,False
Human,23,QGval,Conciseness,5,5.0,False
Human,23,QGval,Consistency,5,5.0,False
Human,23,QGval,Fluency,5,5.0,False
Human,23,QGval,Relevance,5,5.0,False
Human,23,ULM,Absoluteness,5,5.0,False
Human,23,ULM,Completeness,5,5.0,False
Human,23,ULM,Comprehensiveness,5,2.3333333333333335,False
Human,23,ULM,Correctness,5,5.0,False
Human,23,ULM,Exclusiveness,5,5.0,False
Human,23,ULM,Explanation score,5,3.6666666666666665,False
Human,23,ULM,Explicitness,4,3.3333333333333335,False
Human,23,ULM,Fairness,3,3.0,False
Human,23,ULM,Feedback,5,3.3333333333333335,False
Human,23,ULM,Fluency,5,5.0,False
Human,23,ULM,Focus,5,5.0,False
Human,23,ULM,Goal alignment,5,5.0,False
Human,23,ULM,Guess resistance,5,4.333333333333333,False
Human,23,ULM,Plausibility,5,3.6666666666666665,False
Human,23,ULM,Reasoning,4,2.0,False
Human,23,ULM,Solvability,5,5.0,False
Human,24,QGval,Answer consistency,5,4.333333333333333,False
Human,24,QGval,Answerability,5,5.0,False
Human,24,QGval,Clarity,5,5.0,False
Human,24,QGval,Conciseness,5,5.0,False
Human,24,QGval,Consistency,5,5.0,False
Human,24,QGval,Fluency,5,5.0,False
Human,24,QGval,Relevance,5,5.0,False
Human,24,ULM,Absoluteness,5,5.0,False
Human,24,ULM,Completeness,5,5.0,False
Human,24,ULM,Comprehensiveness,5,3.3333333333333335,False
Human,24,ULM,Correctness,5,5.0,False
Human,24,ULM,Exclusiveness,5,5.0,False
Human,24,ULM,Explanation score,5,4.333333333333333,False
Human,24,ULM,Explicitness,4,3.3333333333333335,False
Human,24,ULM,Fairness,3,3.0,False
Human,24,ULM,Feedback,5,4.0,False
Human,24,ULM,Fluency,5,5.0,False
Human,24,ULM,Focus,5,5.0,False
Human,24,ULM,Goal alignment,5,5.0,False
Human,24,ULM,Guess resistance,5,4.333333333333333,False
Human,24,ULM,Plausibility,5,3.6666666666666665,False
Human,24,ULM,Reasoning,4,3.0,False
Human,24,ULM,Solvability,5,5.0,False
Human,25,QGval,Answer consistency,5,5.0,False
Human,25,QGval,Answerability,5,5.0,False
Human,25,QGval,Clarity,5,5.0,False
Human,25,QGval,Conciseness,5,5.0,False
Human,25,QGval,Consistency,5,5.0,False
Human,25,QGval,Fluency,5,5.0,False
Human,25,QGval,Relevance,5,5.0,False
Human,25,ULM,Absoluteness,5,5.0,False
Human,25,ULM,Completeness,5,5.0,False
Human,25,ULM,Comprehensiveness,5,2.0,False
Human,25,ULM,Correctness,5,5.0,False
Human,25,ULM,Exclusiveness,5,5.0,False
Human,25,ULM,Explanation score,5,3.6666666666666665,False
Human,25,ULM,Explicitness,4,3.0,False
Human,25,ULM,Fairness,3,3.0,False
Human,25,ULM,Feedback,5,3.3333333333333335,False
Human,25,ULM,Fluency,5,5.0,False
Human,25,ULM,Focus,5,5.0,False
Human,25,ULM,Goal alignment,5,5.0,False
Human,25,ULM,Guess resistance,5,4.333333333333333,False
